ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
ITUB4,ITUBF442,CALL,43.94,2026-06-19,23,CURTO,0.12,47.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.1,MONITORAR_NO_RTD,Liquidez score 47.0 ≥ 30 — monitorar confirmação via RTD.
VALE3,VALER800W1,PUT,80.0,2026-06-05,9,CURTO,0.54,46.9,LATERALIDADE,Monitorar — Iron Condor futuro,59.1,MONITORAR_NO_RTD,Liquidez score 46.9 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBF474,CALL,47.42,2026-06-19,23,CURTO,0.08,47.1,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.1,MONITORAR_NO_RTD,Liquidez score 47.1 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRF545,CALL,53.96,2026-06-19,23,CURTO,0.91,47.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.1,MONITORAR_NO_RTD,Liquidez score 47.0 ≥ 30 — monitorar confirmação via RTD.
CMIG4,CMIGR139,PUT,12.24,2026-06-19,23,CURTO,0.91,30.3,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.1,MONITORAR_NO_RTD,Liquidez score 30.3 ≥ 30 — monitorar confirmação via RTD.
RENT3,RENTR486,PUT,48.62,2026-06-19,23,CURTO,5.26,46.7,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.7 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRF579,CALL,57.96,2026-06-19,23,CURTO,0.34,46.8,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.8 ≥ 30 — monitorar confirmação via RTD.
BBDC4,BBDCR236W1,PUT,23.66,2026-06-05,9,CURTO,5.8,46.8,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.8 ≥ 30 — monitorar confirmação via RTD.
VALE3,VALEF601,CALL,60.18,2026-06-19,23,CURTO,22.86,80.0,LATERALIDADE,Monitorar — Iron Condor futuro,59.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 80.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
PETR4,PETRR607,PUT,60.19,2026-06-19,23,CURTO,14.76,46.5,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.5 ≥ 30 — monitorar confirmação via RTD.
BPAC11,BPACG511,CALL,51.19,2026-07-17,51,MEDIO,4.88,46.8,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.8 ≥ 30 — monitorar confirmação via RTD.
BBAS3,BBASE196W5,CALL,19.6,2026-05-29,2,CURTO,1.37,30.1,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 30.1 ≥ 30 — monitorar confirmação via RTD.
TAEE11,TAEEF390,CALL,37.64,2026-06-19,23,CURTO,1.82,30.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 30.0 ≥ 30 — monitorar confirmação via RTD.
PRIO3,PRIOR770,PUT,77.0,2026-06-19,23,CURTO,8.69,79.9,LATERALIDADE,Monitorar — Iron Condor futuro,59.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 79.9 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
WEGE3,WEGER487,PUT,48.78,2026-06-19,23,CURTO,5.76,46.5,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.5 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRG527,CALL,52.19,2026-07-17,51,MEDIO,0.53,63.4,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 63.4 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRV409,PUT,40.38,2026-10-16,142,LONGO,1.45,80.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 80.0 ≥ 30 — monitorar confirmação via RTD.
B3SA3,B3SAS152,PUT,15.14,2026-07-17,51,MEDIO,0.29,46.6,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.6 ≥ 30 — monitorar confirmação via RTD.
GGBR4,GGBRR266,PUT,26.43,2026-06-19,23,CURTO,2.46,30.1,CONTINUACAO_ALTA,"Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 30.1 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBF455,CALL,45.19,2026-06-19,23,CURTO,0.06,46.5,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.5 ≥ 30 — monitorar confirmação via RTD.
GGBR4,GGBRG235,CALL,23.35,2026-07-17,51,MEDIO,1.65,46.5,CONTINUACAO_ALTA,"Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 46.5 ≥ 30 — monitorar confirmação via RTD.
ITUB4,ITUBC307,CALL,30.44,2027-03-19,296,EXTRA_LONGO,11.91,96.8,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",59.0,MONITORAR_NO_RTD,Liquidez score 96.8 ≥ 30 — monitorar confirmação via RTD.
