ticker,ativo_objeto,tipo,strike,vencimento,ultimo_preco,spot,moneyness,adv_volume,negocios_media,prioridade,categoria
VALEF886,VALE,CALL,83.68,2026-06-19,2.48,98.0,0.1461,1074306,550.8,0.1837,OPORTUNIDADE
VALER896,VALE,PUT,84.68,2026-06-19,4.29,98.0,0.1359,928026,205.8,0.1864,OPORTUNIDADE
VALEF911,VALE,CALL,86.18,2026-06-19,1.48,98.0,0.1206,920726,357.2,0.2087,OPORTUNIDADE
VALER886,VALE,PUT,83.68,2026-06-19,3.65,98.0,0.1461,901173,229.6,0.1688,OPORTUNIDADE
VALEF891,VALE,CALL,84.18,2026-06-19,2.22,98.0,0.141,881994,507.4,0.1748,OPORTUNIDADE
VALER851,VALE,PUT,80.18,2026-06-19,2.06,98.0,0.1818,875246,221.0,0.113,OPORTUNIDADE
ABEVF161,ABEV,CALL,15.42,2026-06-19,1.25,16.95,0.0903,116380,89.2,0.1649,MONITORAMENTO
ABEVG159,ABEV,CALL,15.92,2026-07-17,1.15,16.95,0.0608,111939,23.4,0.2088,MONITORAMENTO
B3SAQ213W5,B3SA,PUT,21.31,2026-05-29,4.58,19.84,0.0741,458000,22.0,0.2186,MONITORAMENTO
B3SAR165,B3SA,PUT,16.47,2026-06-19,0.9,19.84,0.1699,438187,91.2,0.0732,MONITORAMENTO
B3SAR170,B3SA,PUT,16.97,2026-06-19,1.22,19.84,0.1447,409416,45.2,0.1086,MONITORAMENTO
B3SAF167,B3SA,CALL,16.72,2026-06-19,1.08,19.84,0.1573,383818,157.2,0.0875,MONITORAMENTO
B3SAF172,B3SA,CALL,17.22,2026-06-19,0.72,19.84,0.1321,373927,190.8,0.1244,MONITORAMENTO
B3SAQ203W5,B3SA,PUT,20.31,2026-05-29,3.62,19.84,0.0237,361490,21.0,0.2859,MONITORAMENTO
B3SAF162,B3SA,CALL,16.22,2026-06-19,1.32,19.84,0.1825,358441,90.0,0.0475,MONITORAMENTO
B3SAR180,B3SA,PUT,17.97,2026-06-19,2.03,19.84,0.0943,348213,68.8,0.1789,MONITORAMENTO
BBDCL176,BBDC,CALL,17.39,2026-12-18,2.4,18.74,0.072,466891,30.0,0.2226,MONITORAMENTO
BBDCL192,BBDC,CALL,18.89,2026-12-18,1.97,18.74,0.008,405454,40.3,0.3133,MONITORAMENTO
BBDCR4,BBDC,PUT,17.76,2026-06-19,0.62,18.74,0.0523,387945,136.4,0.2453,MONITORAMENTO
BBDCL181,BBDC,CALL,17.89,2026-12-18,2.47,18.74,0.0454,303724,65.3,0.2484,MONITORAMENTO
BBDCF4,BBDC,CALL,17.76,2026-06-19,0.74,18.74,0.0523,291607,84.8,0.237,MONITORAMENTO
BBDCR17,BBDC,PUT,17.26,2026-06-19,0.38,18.74,0.079,266638,164.4,0.1948,MONITORAMENTO
BBDCF196,BBDC,CALL,19.01,2026-06-19,0.21,18.74,0.0144,253109,203.0,0.2906,MONITORAMENTO
BBDCB199,BBDC,CALL,19.91,2027-02-19,2.18,18.74,0.0624,243071,112.5,0.2177,MONITORAMENTO
BBDCG173,BBDC,CALL,16.66,2026-07-17,1.8,18.74,0.111,242659,32.8,0.1448,MONITORAMENTO
BBDCF179,BBDC,CALL,17.01,2026-06-19,1.28,18.74,0.0923,242618,74.0,0.1728,MONITORAMENTO
BBDCF187,BBDC,CALL,18.01,2026-06-19,0.59,18.74,0.039,233616,249.0,0.252,MONITORAMENTO
BPACF560,BPAC,CALL,56.05,2026-06-19,1.6,64.34,0.1288,254072,85.4,0.119,MONITORAMENTO
BPACF540,BPAC,CALL,54.05,2026-06-19,2.46,64.34,0.1599,188487,57.8,0.0667,MONITORAMENTO
BPACR535,BPAC,PUT,53.55,2026-06-19,1.91,64.34,0.1677,175946,61.8,0.054,MONITORAMENTO
