ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,vol_media_5d,vol_media_10d,vol_media_21d,negocios_media_5d,variacao_volume,variacao_preco,moneyness,moneyness_cat,liquidez_score,spot,retorno_5d,retorno_21d,retorno_63d,vol_hist_21d,dist_max,dist_min,vol_relativa,tendencia,cenario,estruturas_sugeridas,score,status,motivo,risco_principal,data_analise,ultima_data_cotahist
SUZB3,SUZBS466W2,PUT,46.67,2026-07-10,44,MEDIO,3.87,387.0,387.0,387.0,1.0,0.0,0.0,0.106492,DEEP_ITM,4.2,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.2 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_ITM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
BBAS3,BBASJ280,CALL,26.27,2026-10-16,142,LONGO,0.51,302.6,1533.5,4713.1,5.2,-0.935796,-0.037736,-0.202893,DEEP_OTM,21.0,20.94,0.011594,-0.105128,-0.208617,0.232023,-0.240754,0.141144,0.054066,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.3,AGUARDAR_LIQUIDEZ,Liquidez score 21.0 entre 10 e 30 — aguardar aumento de liquidez.,Tese de recuperação não se confirma — perda do prêmio pago. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
PRIO3,PRIOF665W1,CALL,66.5,2026-06-05,9,CURTO,3.7,377.5,377.5,377.5,1.0,0.0,-0.038961,0.028571,ITM,4.2,68.4,-0.005814,0.090909,0.245221,0.348588,-0.051318,1.0,-0.089039,LATERAL,LATERALIDADE,Monitorar — Iron Condor futuro,41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.2 < 10 — volume insuficiente para estrutura.,Ruptura da faixa lateral invalida estrutura Iron Condor.,2026-05-27,2026-05-22
PETR4,PETRH501,CALL,50.18,2026-08-21,86,MEDIO,4.0,430.0,430.0,430.0,1.0,0.0,-0.130435,-0.113591,DEEP_OTM,4.3,44.48,-0.021773,-0.066918,0.176408,0.26737,-0.106468,0.524854,0.019934,BAIXA_MODERADA,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.3 < 10 — volume insuficiente para estrutura.,Recuperação inesperada do ativo antes do vencimento. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
VALE3,VALET794,PUT,79.46,2026-08-21,86,MEDIO,2.4,720.0,720.0,720.0,1.0,0.0,0.0,-0.045809,OTM,4.4,83.1,-0.00479,-0.047237,-0.011773,0.337119,-0.077589,0.664663,-0.15519,LATERAL,LATERALIDADE,Monitorar — Iron Condor futuro,41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.4 < 10 — volume insuficiente para estrutura.,Ruptura da faixa lateral invalida estrutura Iron Condor.,2026-05-27,2026-05-22
ITUB4,ITUBD411,CALL,41.11,2027-04-16,324,EXTRA_LONGO,6.2,620.0,620.0,620.0,1.0,0.0,0.0,-0.040866,OTM,4.4,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.4 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
RADL3,RADLS151,PUT,15.12,2026-07-17,51,MEDIO,0.09,306.0,306.0,306.0,1.0,0.0,0.0,-0.203042,DEEP_OTM,4.2,18.19,-0.071465,-0.199031,-0.311246,0.357267,-0.326296,0.361527,-4.6e-05,BAIXA_FORTE,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",41.3,DESCARTAR_ILIQUIDA,Liquidez score 4.2 < 10 — volume insuficiente para estrutura.,Recuperação inesperada do ativo antes do vencimento. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
PETR4,PETRG105,CALL,104.69,2026-07-17,51,MEDIO,0.01,15.0,15.0,15.0,1.0,0.0,-0.5,-0.575127,DEEP_OTM,4.0,44.48,-0.021773,-0.066918,0.176408,0.26737,-0.106468,0.524854,0.019934,BAIXA_MODERADA,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.0 < 10 — volume insuficiente para estrutura.,Recuperação inesperada do ativo antes do vencimento. Moneyness DEEP_OTM aumenta risco de expiração sem valor.,2026-05-27,2026-05-22
SUZB3,SUZBU433,PUT,43.38,2026-09-18,114,LONGO,1.85,185.0,185.0,185.0,1.0,0.0,0.0,0.038728,ITM,4.1,41.7,0.0,-0.119324,-0.270086,0.231886,-0.292981,0.015834,-0.29182,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
ITUB4,ITUBV43,PUT,43.41,2026-10-16,142,LONGO,2.1,210.0,210.0,210.0,1.0,0.0,0.0,0.091684,ITM,4.1,39.43,-0.006801,-0.124362,-0.187848,0.239625,-0.201337,0.143893,0.001642,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",41.2,DESCARTAR_ILIQUIDA,Liquidez score 4.1 < 10 — volume insuficiente para estrutura.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
