filename,size_bytes,tipo,delimiter,n_lines,n_columns,header,columns_list,sample_source
AXIA3_DFP_dfp_cia_aberta_BPP_ind_2025.csv,57073,BPP_IND,?,-1,0,ERROR,,sampled_from_type
AXIA3_ITR_itr_cia_aberta_2025.csv,870,INDEX_ITR,?,-1,0,ERROR,,sampled_from_type
AXIA3_ITR_itr_cia_aberta_BPA_con_2025.csv,96850,BPA_CON,?,-1,0,ERROR,,sampled_from_type
AXIA3_ITR_itr_cia_aberta_BPA_ind_2025.csv,93738,BPA_IND,?,-1,0,ERROR,,sampled_from_type
AXIA3_ITR_itr_cia_aberta_BPP_con_2025.csv,160120,BPP_CON,?,-1,0,ERROR,,sampled_from_type
AXIA3_ITR_itr_cia_aberta_BPP_ind_2025.csv,154747,BPP_IND,?,-1,0,ERROR,,sampled_from_type
AZUL4_DFP_dfp_cia_aberta_2025.csv,648,INDEX_DFP,?,-1,0,ERROR,,sampled_from_type
AZUL4_DFP_dfp_cia_aberta_BPA_con_2025.csv,24613,BPA_CON,?,-1,0,ERROR,,sampled_from_type
AZUL4_DFP_dfp_cia_aberta_BPA_ind_2025.csv,22582,BPA_IND,?,-1,0,ERROR,,sampled_from_type
AZUL4_DFP_dfp_cia_aberta_BPP_con_2025.csv,43361,BPP_CON,?,-1,0,ERROR,,sampled_from_type
AZUL4_DFP_dfp_cia_aberta_BPP_ind_2025.csv,40961,BPP_IND,?,-1,0,ERROR,,sampled_from_type
AZUL4_ITR_itr_cia_aberta_2025.csv,648,INDEX_ITR,?,-1,0,ERROR,,sampled_from_type
AZUL4_ITR_itr_cia_aberta_BPA_con_2025.csv,68417,BPA_CON,?,-1,0,ERROR,,sampled_from_type
AZUL4_ITR_itr_cia_aberta_BPA_ind_2025.csv,65694,BPA_IND,?,-1,0,ERROR,,sampled_from_type
AZUL4_ITR_itr_cia_aberta_BPP_con_2025.csv,128082,BPP_CON,?,-1,0,ERROR,,sampled_from_type
AZUL4_ITR_itr_cia_aberta_BPP_ind_2025.csv,122220,BPP_IND,?,-1,0,ERROR,,sampled_from_type
AZZA3_DFP_dfp_cia_aberta_2025.csv,274,INDEX_DFP,?,-1,0,ERROR,,sampled_from_type
AZZA3_DFP_dfp_cia_aberta_BPA_con_2025.csv,27441,BPA_CON,?,-1,0,ERROR,,sampled_from_type
AZZA3_DFP_dfp_cia_aberta_BPA_ind_2025.csv,27344,BPA_IND,?,-1,0,ERROR,,sampled_from_type
AZZA3_DFP_dfp_cia_aberta_BPP_con_2025.csv,45464,BPP_CON,?,-1,0,ERROR,,sampled_from_type
AZZA3_DFP_dfp_cia_aberta_BPP_ind_2025.csv,45493,BPP_IND,?,-1,0,ERROR,,sampled_from_type
AZZA3_ITR_itr_cia_aberta_2025.csv,666,INDEX_ITR,?,-1,0,ERROR,,sampled_from_type
AZZA3_ITR_itr_cia_aberta_BPA_con_2025.csv,82056,BPA_CON,?,-1,0,ERROR,,sampled_from_type
AZZA3_ITR_itr_cia_aberta_BPA_ind_2025.csv,81767,BPA_IND,?,-1,0,ERROR,,sampled_from_type
AZZA3_ITR_itr_cia_aberta_BPP_con_2025.csv,135711,BPP_CON,?,-1,0,ERROR,,sampled_from_type
AZZA3_ITR_itr_cia_aberta_BPP_ind_2025.csv,137652,BPP_IND,?,-1,0,ERROR,,sampled_from_type
B3SA3_DFP_dfp_cia_aberta_2025.csv,293,INDEX_DFP,?,-1,0,ERROR,,sampled_from_type
B3SA3_DFP_dfp_cia_aberta_BPA_con_2025.csv,26514,BPA_CON,?,-1,0,ERROR,,sampled_from_type
B3SA3_DFP_dfp_cia_aberta_BPA_ind_2025.csv,26826,BPA_IND,?,-1,0,ERROR,,sampled_from_type
