ticker,ticker_type,ai_present,ai_last_updated,company_name,sector,subsector,price_history_first,price_history_last,price_history_rows,market_price_source,market_price_date,ai_market_price,cvm_docs_count,cvm_latest_doc,cvm_doc_types,cvm_traceability_count,cvm_trace_discrepancy,events_count,events_last,methodology,valuation_available,fair_value,upside_pct,valuation_method,fundamental_quality_score,valuation_traceability_count,valuation_traceability_date,ensemble_vol,volatility_regime,technical_score,technical_status,technical_snapshots,risk_status,integrated_status,gaps,gap_count
BBAS3,BANK,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,20.94,2026-05-22,,121,2121-07-07,"COMUNICADO_CVM,FATO_RELEVANTE,RELEASE_RESULTADO",6100,False,98,2121-07-07,COSIF_BANK,1,64.84,0.0,,,244,2026-05-11,0.21680878119924576,VOL_NORMAL,42.7,TECNICO_FRACO,842,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_METHOD_MISSING|FQS_MISSING,5
BBDC4,BANK,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,17.62,2026-05-22,,125,2026-12-31,"COMUNICADO_CVM,FATO_RELEVANTE,RELEASE_RESULTADO",6100,False,118,2026-12-31,COSIF_BANK,1,,0.0,,,244,2026-05-11,0.20945967810506547,VOL_NORMAL,41.1,TECNICO_FRACO,842,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|FAIR_VALUE_MISSING|VALUATION_METHOD_MISSING|FQS_MISSING,6
BPAC11,BANK,False,,,,,2023-01-02,2026-05-22,845,53.93,2026-05-22,,0,,,6100,True,58,2026-12-31,COSIF_BANK,,,,,,244,2026-05-11,0.25753424703478695,VOL_NORMAL,41.5,TECNICO_FRACO,841,RISK_OK,,AI_ENTRY_MISSING|CVM_DOCS_MISSING,2
ITUB4,BANK,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,39.43,2026-05-22,,125,2026-12-31,"COMUNICADO_CVM,FATO_RELEVANTE,RELEASE_RESULTADO",6100,False,110,2026-12-31,COSIF_BANK,1,73.69,0.0,,,244,2026-05-11,0.19431521191848017,VOL_NORMAL,41.8,TECNICO_FRACO,922,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_METHOD_MISSING|FQS_MISSING,5
PETR4,ENERGY,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,44.48,2026-05-22,,131,2026-12-31,"COMUNICADO_CVM,FATO_RELEVANTE,RELEASE_RESULTADO",6100,False,251,2026-12-31,ENERGY_DCF,1,81.12,71.2,,,244,2026-05-11,0.23813097677553458,VOL_NORMAL,42.7,TECNICO_FRACO,922,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_METHOD_MISSING|FQS_MISSING,5
SANB11,INDUSTRIAL,False,,,,,2023-01-02,2026-05-22,845,27.1,2026-05-22,,0,,,6100,True,90,2026-04-29,INDUSTRIAL_DCF,,,,,,244,2026-05-11,0.20891388893862575,VOL_NORMAL,41.1,TECNICO_FRACO,841,RISK_OK,,AI_ENTRY_MISSING|CVM_DOCS_MISSING,2
SUZB3,COMMODITY,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,41.7,2026-05-22,,0,,,6100,True,114,2026-12-31,COMMODITY_DCF,0,,,,,244,2026-05-11,0.19354551132193082,VOL_NORMAL,41.1,TECNICO_FRACO,842,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_FLAG_ABSENT|VALUATION_METHOD_MISSING|FQS_MISSING|CVM_DOCS_MISSING,7
VALE3,COMMODITY,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,83.1,2026-05-22,,0,,,0,False,7,2026-01-06,COMMODITY_DCF,0,,,,,0,,0.24013640057960053,VOL_NORMAL,41.8,TECNICO_FRACO,81,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_FLAG_ABSENT|VALUATION_METHOD_MISSING|FQS_MISSING|CVM_DOCS_MISSING,7
WEGE3,INDUSTRIAL,True,2026-05-22T11:25:49.722454,,,,2023-01-02,2026-05-22,845,42.73,2026-05-22,,124,2026-12-31,"COMUNICADO_CVM,FATO_RELEVANTE,RELEASE_RESULTADO",6100,False,90,2026-12-31,INDUSTRIAL_DCF,1,40.16,-10.3,,,244,2026-05-11,0.2732348951984476,VOL_NORMAL,41.1,TECNICO_FRACO,842,RISK_OK,APENAS_MONITORAR_SOFT_COVERAGE,COMPANY_NAME_MISSING|SECTOR_MISSING|MARKET_PRICE_MISSING|VALUATION_METHOD_MISSING|FQS_MISSING,5
